Username,Tanggal,Bintang,Komentar,Komentar_Cleaned,Komentar_Tokenized,Label,Prediksi_NaiveBayes,Prediksi_SVM,Prediksi_KNN
Toko Buku,1/13/2023,5,"Ok, sangat membantu",ok sangat bantu,"['ok', 'sangat', 'bantu']",positif,positif,positif,positif
Oviq,12/14/2022,2,"Masih bagusan yang lama... Tolong kembalikan saja ke aplikasi lama, kalau yang baru belum sempurna di uji coba saja 1 tahun sambil di sempurnakan mana yang kurang dari aplikasi yang lama tinggal nambah saja tapi jang dirubah... Ditambah pada menunya saja... Mohon di pertimbangkan... Ini sudah terlalu lama kita menunggu sejak versi terbaru... 🙏",masih bagus lama tolong kembali saja aplikasi lama kalau baru belum sempurna uji coba saja tahun sambil sempurna mana kurang aplikasi lama tinggal nambah saja tapi jang rubah tambah menu saja mohon timbang sudah terlalu lama kita tunggu sejak versi baru,"['masih', 'bagus', 'lama', 'tolong', 'kembali', 'saja', 'aplikasi', 'lama', 'kalau', 'baru', 'belum', 'sempurna', 'uji', 'coba', 'saja', 'tahun', 'sambil', 'sempurna', 'mana', 'kurang', 'aplikasi', 'lama', 'tinggal', 'nambah', 'saja', 'tapi', 'jang', 'rubah', 'tambah', 'menu', 'saja', 'mohon', 'timbang', 'sudah', 'terlalu', 'lama', 'kita', 'tunggu', 'sejak', 'versi', 'baru']",negatif,negatif,netral,positif
Aura Sh,2/24/2023,5,Mantap,mantap,['mantap'],positif,positif,netral,positif
Gatot teguh Arip arianto,2/18/2023,5,Baik dan akurat,baik akurat,"['baik', 'akurat']",positif,positif,negatif,positif
Bambang Wahyudi,11/26/2022,1,"Udah berat, makin lelet lagi. Niat nggak sih bikin aplikasi?",udah berat makin lelet lagi niat nggak sih bikin aplikasi,"['udah', 'berat', 'makin', 'lelet', 'lagi', 'niat', 'nggak', 'sih', 'bikin', 'aplikasi']",negatif,negatif,positif,netral
Fransiska Romana,12/12/2023,5,Gempabumi hari ini,gempabumi hari,"['gempabumi', 'hari']",positif,positif,netral,negatif
Rospendi,3/11/2023,5,"Luar biasa, hebat and good",luar biasa hebat and good,"['luar', 'biasa', 'hebat', 'and', 'good']",positif,positif,positif,positif
Gabriel Sagala,4/3/2024,4,"min darkmode min pls, sakit mata saya lihat layar putih 😭",min darkmode min pls sakit mata saya lihat layar putih,"['min', 'darkmode', 'min', 'pls', 'sakit', 'mata', 'saya', 'lihat', 'layar', 'putih']",positif,negatif,positif,positif
m. fadhil,7/13/2023,5,Sangat membantu,sangat bantu,"['sangat', 'bantu']",positif,positif,positif,positif
Suparmin Setyawan,11/22/2022,5,Setelah update kok malah erorr nggk bisa di buka.!!lebih bagus yg lama...,telah update kok malah erorr nggk bisa bukalebih bagus yg lama,"['telah', 'update', 'kok', 'malah', 'erorr', 'nggk', 'bisa', 'bukalebih', 'bagus', 'yg', 'lama']",positif,negatif,positif,positif
Okta Via,11/26/2022,5,Info ter update,info ter update,"['info', 'ter', 'update']",positif,positif,positif,positif
Dani Husbini,12/5/2022,5,Akan lebih baik lagi jika update peringatan dini cuaca dapat otomatis dengan klik icon share seperti icon share dihalaman kejadian gempa,akan lebih baik lagi jika update ingat dini cuaca dapat otomatis klik icon share seperti icon share halaman jadi gempa,"['akan', 'lebih', 'baik', 'lagi', 'jika', 'update', 'ingat', 'dini', 'cuaca', 'dapat', 'otomatis', 'klik', 'icon', 'share', 'seperti', 'icon', 'share', 'halaman', 'jadi', 'gempa']",positif,positif,negatif,positif
Sunar di,7/25/2024,3,"Kurang akurat, masa angin dari selatan tenggara katanya dari timur laut",kurang akurat masa angin selatan tenggara kata timur laut,"['kurang', 'akurat', 'masa', 'angin', 'selatan', 'tenggara', 'kata', 'timur', 'laut']",netral,negatif,positif,positif
Apolius Gareta,11/11/2023,3,Bgus,bgus,['bgus'],netral,positif,negatif,positif
Saint von Claude,1/14/2025,5,"apk yang bagus untuk memperkirakan cuaca dan lainnya, Terima kasih BMKG Indonesia ku tercinta sehat selalu negriku👍",apk bagus kira cuaca lain terima kasih bmkg indonesia ku cinta sehat selalu negriku,"['apk', 'bagus', 'kira', 'cuaca', 'lain', 'terima', 'kasih', 'bmkg', 'indonesia', 'ku', 'cinta', 'sehat', 'selalu', 'negriku']",positif,positif,positif,positif
Michi Kawa,2/27/2023,5,bagus,bagus,['bagus'],positif,positif,positif,positif
abie azzumar,11/27/2022,1,Susah buat dibuka,susah buat buka,"['susah', 'buat', 'buka']",negatif,negatif,netral,positif
Azhar Hidayat,10/10/2023,5,Ok,ok,['ok'],positif,positif,positif,positif
SASAK LOMBOQ,4/28/2023,5,"Sangat membantu dalam Mitigasi , khususnya kami di Lombok.",sangat bantu dalam mitigasi khusus kami lombok,"['sangat', 'bantu', 'dalam', 'mitigasi', 'khusus', 'kami', 'lombok']",positif,positif,positif,positif
freshty adeni,11/22/2022,3,"Bagusan yg lama, yang baru tampilan lebih bagus cuma database nya lama, sepertinya masih ada bug, semoga secepatnya bisa diperbaiki dan jadi lebih baik",bagus yg lama baru tampil lebih bagus cuma database nya lama seperti masih ada bug moga cepat bisa baik jadi lebih baik,"['bagus', 'yg', 'lama', 'baru', 'tampil', 'lebih', 'bagus', 'cuma', 'database', 'nya', 'lama', 'seperti', 'masih', 'ada', 'bug', 'moga', 'cepat', 'bisa', 'baik', 'jadi', 'lebih', 'baik']",netral,positif,negatif,netral
sumadiyana 61,4/1/2024,5,Informasi cepat.,informasi cepat,"['informasi', 'cepat']",positif,positif,netral,positif
DORGIS SIMANJUNTAK,12/18/2024,3,Setelah update terakhir 14 des. Menu cuaca gak otomatis gps nya. Selalu berada di gunung sahari jakarta. Mohon segera di perbaiki.,telah update akhir des menu cuaca gak otomatis gps nya selalu ada gunung sahari jakarta mohon segera baik,"['telah', 'update', 'akhir', 'des', 'menu', 'cuaca', 'gak', 'otomatis', 'gps', 'nya', 'selalu', 'ada', 'gunung', 'sahari', 'jakarta', 'mohon', 'segera', 'baik']",netral,negatif,positif,positif
Diamtri 31,11/23/2022,1,Update selalu telat setengah jam,update selalu telat tengah jam,"['update', 'selalu', 'telat', 'tengah', 'jam']",negatif,negatif,netral,positif
Nurlina Ali,12/25/2022,5,Aplikasi ini memberikan kemudahan utk lebih cepat mengetahui keadaan cuaca,aplikasi beri mudah utk lebih cepat tahu ada cuaca,"['aplikasi', 'beri', 'mudah', 'utk', 'lebih', 'cepat', 'tahu', 'ada', 'cuaca']",positif,positif,positif,positif
Darwis Pagaruyung,6/15/2023,4,Cukup bagus & membantu,cukup bagus bantu,"['cukup', 'bagus', 'bantu']",positif,positif,positif,positif
hernanto akunk,1/11/2023,5,Sangat membantu sekali...bagus untuk bisa mengikuti kondisi yg sekarang terjadi.,sangat bantu sekalibagus bisa ikut kondisi yg sekarang jadi,"['sangat', 'bantu', 'sekalibagus', 'bisa', 'ikut', 'kondisi', 'yg', 'sekarang', 'jadi']",positif,positif,positif,positif
Driyanto Kriswan,1/12/2025,5,Sangat berguna untuk pra ajtivitas outdoor,sangat guna pra ajtivitas outdoor,"['sangat', 'guna', 'pra', 'ajtivitas', 'outdoor']",positif,positif,positif,positif
AYUB86 TAT INDONESIA TERNATE,1/31/2023,5,TAT 86 INDONEISA AYUB 86 TERNATE,tat indoneisa ayub ternate,"['tat', 'indoneisa', 'ayub', 'ternate']",positif,netral,positif,positif
zulfikar m,12/8/2022,1,Malah lemot setelah update njiir,malah lot telah update njiir,"['malah', 'lot', 'telah', 'update', 'njiir']",negatif,negatif,positif,positif
Chaeri Bravo,5/11/2023,5,Informasinya sangat membantu untuk antisipasi jika keadaan memburuk.,informasi sangat bantu antisipasi jika ada buruk,"['informasi', 'sangat', 'bantu', 'antisipasi', 'jika', 'ada', 'buruk']",positif,positif,positif,positif
Sigit Sudibyo,12/3/2022,5,Berguna sbg bahan referensi,guna sbg bahan referensi,"['guna', 'sbg', 'bahan', 'referensi']",positif,positif,netral,positif
Virda Sasi,11/30/2023,5,Udah bagus dari segi ui ux nya dan info yg tertera udah terbaru 👍👍👍,udah bagus segi ui ux nya info yg tera udah baru,"['udah', 'bagus', 'segi', 'ui', 'ux', 'nya', 'info', 'yg', 'tera', 'udah', 'baru']",positif,positif,negatif,positif
Iron Man,2/1/2025,3,fitur lokasi tidak akurat setelah di update,fitur lokasi tidak akurat telah update,"['fitur', 'lokasi', 'tidak', 'akurat', 'telah', 'update']",netral,negatif,positif,positif
rysns,12/10/2022,1,Mempunyai bug yang membuat aplk tdk bisa digunakan,punya bug buat aplk tdk bisa guna,"['punya', 'bug', 'buat', 'aplk', 'tdk', 'bisa', 'guna']",negatif,positif,positif,positif
Rafael Arcanjo de Deus,1/11/2023,5,Okay mantap sekali,okay mantap sekali,"['okay', 'mantap', 'sekali']",positif,positif,positif,positif
Hary Anto,1/13/2023,5,Aplikasi topp,aplikasi topp,"['aplikasi', 'topp']",positif,positif,positif,positif
Anisa Jaya,11/26/2022,5,Mantap,mantap,['mantap'],positif,positif,positif,positif
Muhammad Ashraf,1/7/2025,4,Terkadang tidak akurat info cuaca nya,terkadang tidak akurat info cuaca nya,"['terkadang', 'tidak', 'akurat', 'info', 'cuaca', 'nya']",positif,positif,netral,negatif
Randa Rozan,1/27/2024,1,Error dan ssh update,error ssh update,"['error', 'ssh', 'update']",negatif,negatif,positif,positif
Andi Kurniawan,7/3/2023,3,Notifikasinya mana? Kok gak muncul ketika ada gempa??,notifikasi mana kok gak muncul ketika ada gempa,"['notifikasi', 'mana', 'kok', 'gak', 'muncul', 'ketika', 'ada', 'gempa']",netral,negatif,positif,positif
Sukoco Koco,1/2/2023,5,Tingkat terus aplikasinya sangat baik,tingkat terus aplikasi sangat baik,"['tingkat', 'terus', 'aplikasi', 'sangat', 'baik']",positif,positif,positif,positif
Andre Pancin,7/31/2024,5,Mantap dan bagus,mantap bagus,"['mantap', 'bagus']",positif,positif,positif,positif
Amin Doan'Gk,11/16/2023,5,Mantap sangat akurat😙😁,mantap sangat akurat,"['mantap', 'sangat', 'akurat']",positif,positif,positif,positif
Siti Sundari,10/30/2024,5,ok,ok,['ok'],positif,positif,positif,positif
Jackson changgih34,1/3/2025,2,Apa ini aplikasi cuacanya kok sering eror,apa aplikasi cuaca kok sering eror,"['apa', 'aplikasi', 'cuaca', 'kok', 'sering', 'eror']",negatif,negatif,positif,positif
ammar betta,2/7/2023,1,"Tolong diberbaiki koneksi failed,padahal pake jaringan wifi dan data tapi malah koneksi failed.",tolong baik koneksi failedpadahal pake jaring wifi data tapi malah koneksi failed,"['tolong', 'baik', 'koneksi', 'failedpadahal', 'pake', 'jaring', 'wifi', 'data', 'tapi', 'malah', 'koneksi', 'failed']",negatif,negatif,netral,negatif
SENS 888,11/11/2023,5,"YANG BILANG UI LAH YANG GAK BAGUS,YANG LAMA DI BUKA,DI SAYA FIX AMAN AKA BAGUS LANCAR,HP XAN AJA KENTANG KALI",bilang ui lah gak bagusyang lama bukadi saya fix aman aka bagus lancarhp xan aja kentang kali,"['bilang', 'ui', 'lah', 'gak', 'bagusyang', 'lama', 'bukadi', 'saya', 'fix', 'aman', 'aka', 'bagus', 'lancarhp', 'xan', 'aja', 'kentang', 'kali']",positif,negatif,positif,positif
Yanuar Rahmat hidayat,1/9/2024,3,"Info gempa nya sudah bagus, tapi untuk perkiraaan cuaca akurasinya harus ditingkatkan, perkiraan bmkg daerah saya hujan tapi kebalikannya malah cerah",info gempa nya sudah bagus tapi perkiraaan cuaca akurasi harus tingkat kira bmkg daerah saya hujan tapi balik malah cerah,"['info', 'gempa', 'nya', 'sudah', 'bagus', 'tapi', 'perkiraaan', 'cuaca', 'akurasi', 'harus', 'tingkat', 'kira', 'bmkg', 'daerah', 'saya', 'hujan', 'tapi', 'balik', 'malah', 'cerah']",netral,negatif,positif,positif
Ikhsan M. Nasution,12/5/2023,5,Sangat membantu dalam informasi cuaca,sangat bantu dalam informasi cuaca,"['sangat', 'bantu', 'dalam', 'informasi', 'cuaca']",positif,positif,netral,positif
cagia mentary tenkahary,1/3/2023,5,akurat,akurat,['akurat'],positif,positif,positif,positif
Azraqi Warhangan,3/3/2025,2,Tambah susah baca perkiraan gelombang laut Kembalikan ke model lama ya pak,tambah susah baca kira gelombang laut kembali model lama ya pak,"['tambah', 'susah', 'baca', 'kira', 'gelombang', 'laut', 'kembali', 'model', 'lama', 'ya', 'pak']",negatif,negatif,positif,positif
Muhammad Masruchan,3/25/2024,3,"Kok ngak akurat ya perkiraan cuacanaya, lebih akurat notif yg bawaan dari hape.",kok ngak akurat ya kira cuacanaya lebih akurat notif yg bawa hape,"['kok', 'ngak', 'akurat', 'ya', 'kira', 'cuacanaya', 'lebih', 'akurat', 'notif', 'yg', 'bawa', 'hape']",netral,negatif,netral,positif
PAK TUA,6/15/2024,5,Bagus,bagus,['bagus'],positif,positif,negatif,positif
m sahiri,1/31/2025,5,Aplikasi nya bagus dan sangat membantu baik cuaca maupun bencana Alam seperti gempa.,aplikasi nya bagus sangat bantu baik cuaca maupun bencana alam seperti gempa,"['aplikasi', 'nya', 'bagus', 'sangat', 'bantu', 'baik', 'cuaca', 'maupun', 'bencana', 'alam', 'seperti', 'gempa']",positif,positif,negatif,positif
Barbar Life,2/7/2023,4,"Tolong diperbaiki lagi aplikasinya suka ngelag kalau saat terjadi gempa mungkin karena banyak orang yang masuk dalam aplikasi,kedepan nya mungkin bisa diperbaiki masalah tersebut",tolong baik lagi aplikasi suka ngelag kalau saat jadi gempa mungkin karena banyak orang masuk dalam aplikasikedepan nya mungkin bisa baik masalah sebut,"['tolong', 'baik', 'lagi', 'aplikasi', 'suka', 'ngelag', 'kalau', 'saat', 'jadi', 'gempa', 'mungkin', 'karena', 'banyak', 'orang', 'masuk', 'dalam', 'aplikasikedepan', 'nya', 'mungkin', 'bisa', 'baik', 'masalah', 'sebut']",positif,positif,positif,positif
Mores Lazuarrdi,1/11/2023,5,Baguusssss👍👍👍,baguusssss,['baguusssss'],positif,positif,negatif,negatif
MUHAMMAD RIZKY FALAH,12/6/2022,5,Bagus,bagus,['bagus'],positif,positif,positif,positif
Ali Shodiqin,12/23/2024,2,"Untuk versi terbaru saya kasih bintang 2,,buka aplikasi berat,gps ngaco,ganti lokasi gak bisa,citra satelit gak bisa diliat..pokoknya jelek banget yang versi terbaru",versi baru saya kasih bintang buka aplikasi beratgps ngacoganti lokasi gak bisacitra satelit gak bisa diliatpokoknya jelek banget versi baru,"['versi', 'baru', 'saya', 'kasih', 'bintang', 'buka', 'aplikasi', 'beratgps', 'ngacoganti', 'lokasi', 'gak', 'bisacitra', 'satelit', 'gak', 'bisa', 'diliatpokoknya', 'jelek', 'banget', 'versi', 'baru']",negatif,negatif,positif,positif
I PUTU ADHI NEGARA,1/1/2023,5,Terima kasih.... Informasi cuacanya up to date,terima kasih informasi cuaca up to date,"['terima', 'kasih', 'informasi', 'cuaca', 'up', 'to', 'date']",positif,positif,positif,positif
Sarong Spdmm,12/16/2024,5,Sangat membantu dalam mencari informasi terkait keadaan alam,sangat bantu dalam cari informasi kait ada alam,"['sangat', 'bantu', 'dalam', 'cari', 'informasi', 'kait', 'ada', 'alam']",positif,positif,positif,positif
Broto Yudono,1/11/2023,5,Mendapat informasi terkini dg cepat & akurat.,dapat informasi kini dg cepat akurat,"['dapat', 'informasi', 'kini', 'dg', 'cepat', 'akurat']",positif,positif,positif,positif
agus sepulloh,11/10/2023,5,Aplikasi sangat bagus nih,aplikasi sangat bagus nih,"['aplikasi', 'sangat', 'bagus', 'nih']",positif,positif,netral,positif
Info Traveling Traveling,4/28/2023,5,Oke,oke,['oke'],positif,positif,positif,positif
Youdi Steve,8/24/2024,1,Sampaikan ke BMKG utk meletakkan ribuan alarm gempa di bagian dalam sumur² milik instansi atau warga atau membuat ribuan sumur sendiri dgn kedalaman ribuan meter yg dekat dgn akses wifi terdekat atau dgn kabel optik ke akses internet yg terhubung ke aplikasi. ini. Lalu semua hape diwajibkan ada aplikasi ini sehinggga jika terjadi gempa maka alarm central over the top pada aplikasi ini akan berbunyi keras untuk memperingatkan semua orang yg tinggalnya 10-100 km dari lokasi gempa.,sampai bmkg utk letak ribu alarm gempa bagi dalam sumur milik instansi atau warga atau buat ribu sumur sendiri dgn dalam ribu meter yg dekat dgn akses wifi dekat atau dgn kabel optik akses internet yg hubung aplikasi lalu semua hape wajib ada aplikasi sehinggga jika jadi gempa maka alarm central over the top aplikasi akan bunyi keras ingat semua orang yg tinggal km lokasi gempa,"['sampai', 'bmkg', 'utk', 'letak', 'ribu', 'alarm', 'gempa', 'bagi', 'dalam', 'sumur', 'milik', 'instansi', 'atau', 'warga', 'atau', 'buat', 'ribu', 'sumur', 'sendiri', 'dgn', 'dalam', 'ribu', 'meter', 'yg', 'dekat', 'dgn', 'akses', 'wifi', 'dekat', 'atau', 'dgn', 'kabel', 'optik', 'akses', 'internet', 'yg', 'hubung', 'aplikasi', 'lalu', 'semua', 'hape', 'wajib', 'ada', 'aplikasi', 'sehinggga', 'jika', 'jadi', 'gempa', 'maka', 'alarm', 'central', 'over', 'the', 'top', 'aplikasi', 'akan', 'bunyi', 'keras', 'ingat', 'semua', 'orang', 'yg', 'tinggal', 'km', 'lokasi', 'gempa']",negatif,positif,netral,positif
Bayo buan Tanlek,4/15/2023,5,Setelah di Update g bisa dibuka,telah update g bisa buka,"['telah', 'update', 'g', 'bisa', 'buka']",positif,negatif,positif,positif
anggi anggraini,12/14/2022,4,👌🏻,positif,[],positif,positif,positif,negatif
Tombe Tom,1/11/2023,5,Mantap dan terpercaya 👍,mantap percaya,"['mantap', 'percaya']",positif,positif,positif,positif
all people for you,1/1/2023,1,"mohon maaf gue ksh ""Minus""... cek cuaca di aplikasi dan web tidak akurat, tidak seperti negara asing, selalu akurat... di bilang ""cerah berawan"" malah ""hujan lebat"", untung saja gue antisipasi tidak keluar rumah, kalau tidak sudah basah kuyup. sangat di sayangkan terlalu percaya sama bmkg... bmkg jgn fokus kan jakarta dan sekitarnya yg selalu akurat cuaca nya. indonesia bukan di sana saja.",mohon maaf gue ksh minus cek cuaca aplikasi web tidak akurat tidak seperti negara asing selalu akurat bilang cerah awan malah hujan lebat untung saja gue antisipasi tidak keluar rumah kalau tidak sudah basah kuyup sangat sayang terlalu percaya sama bmkg bmkg jgn fokus kan jakarta sekitar yg selalu akurat cuaca nya indonesia bukan sana saja,"['mohon', 'maaf', 'gue', 'ksh', 'minus', 'cek', 'cuaca', 'aplikasi', 'web', 'tidak', 'akurat', 'tidak', 'seperti', 'negara', 'asing', 'selalu', 'akurat', 'bilang', 'cerah', 'awan', 'malah', 'hujan', 'lebat', 'untung', 'saja', 'gue', 'antisipasi', 'tidak', 'keluar', 'rumah', 'kalau', 'tidak', 'sudah', 'basah', 'kuyup', 'sangat', 'sayang', 'terlalu', 'percaya', 'sama', 'bmkg', 'bmkg', 'jgn', 'fokus', 'kan', 'jakarta', 'sekitar', 'yg', 'selalu', 'akurat', 'cuaca', 'nya', 'indonesia', 'bukan', 'sana', 'saja']",negatif,negatif,positif,positif
Dion Hendri,8/26/2024,5,Good,good,['good'],positif,positif,positif,positif
FF Project Jakarta,11/19/2024,3,Hak bisa dibuka.. Error..,hak bisa buka error,"['hak', 'bisa', 'buka', 'error']",netral,negatif,positif,positif
Yana Mulyana,11/30/2022,5,"Eh sesudahnya di update, bukan bagus tampilannya, ko malah jelek 😢",eh sudah update bukan bagus tampil ko malah jelek,"['eh', 'sudah', 'update', 'bukan', 'bagus', 'tampil', 'ko', 'malah', 'jelek']",positif,negatif,positif,positif
Nanang Bagus Setiawan,11/22/2022,5,Tolong ditambah fitur notifikasi custom untuk peringatan gempa & tsunami.,tolong tambah fitur notifikasi custom ingat gempa tsunami,"['tolong', 'tambah', 'fitur', 'notifikasi', 'custom', 'ingat', 'gempa', 'tsunami']",positif,positif,positif,positif
Dedy Aja,4/28/2023,5,Ok,ok,['ok'],positif,positif,negatif,negatif
ikong winata,1/3/2023,5,Akurat,akurat,['akurat'],positif,positif,positif,positif
Sri Sulistijani,3/28/2024,1,"BMKG jangan berbohong terus dong. BMKG sangat luar biasa tidak akurat. BMKG hanya penipu. Setiap hari katanya seharian hujan deras tapi kenyataannya panas luar biasa. Dari pagi sampai malam katanya hujan deras tapi kenyataannya panas, matahari bersinar sangat cerah tanpa awan apapun ☀️. BMKG tidak pernah benar selalu berbohong panas dibilang hujan & sebaliknya. Perbaikilah keakuratannya. Bawalah hujan ke Jawa Timur. Hujan di Jabar & Jateng hanya jadi bencana jatuhkan di Jatim jadi berkah",bmkg jangan bohong terus dong bmkg sangat luar biasa tidak akurat bmkg hanya tipu tiap hari kata hari hujan deras tapi nyata panas luar biasa pagi sampai malam kata hujan deras tapi nyata panas matahari sinar sangat cerah tanpa awan apa bmkg tidak pernah benar selalu bohong panas bilang hujan balik baik akurat bawa hujan jawa timur hujan jabar jateng hanya jadi bencana jatuh jatim jadi berkah,"['bmkg', 'jangan', 'bohong', 'terus', 'dong', 'bmkg', 'sangat', 'luar', 'biasa', 'tidak', 'akurat', 'bmkg', 'hanya', 'tipu', 'tiap', 'hari', 'kata', 'hari', 'hujan', 'deras', 'tapi', 'nyata', 'panas', 'luar', 'biasa', 'pagi', 'sampai', 'malam', 'kata', 'hujan', 'deras', 'tapi', 'nyata', 'panas', 'matahari', 'sinar', 'sangat', 'cerah', 'tanpa', 'awan', 'apa', 'bmkg', 'tidak', 'pernah', 'benar', 'selalu', 'bohong', 'panas', 'bilang', 'hujan', 'balik', 'baik', 'akurat', 'bawa', 'hujan', 'jawa', 'timur', 'hujan', 'jabar', 'jateng', 'hanya', 'jadi', 'bencana', 'jatuh', 'jatim', 'jadi', 'berkah']",negatif,negatif,negatif,negatif
Aldi Prasetyo,3/17/2024,5,Min klo boleh saran untuk radar hujan maps dibuat seperti google maps jangan dibuat peta hitam. Terimakasih,min klo boleh saran radar hujan maps buat seperti google maps jangan buat peta hitam terimakasih,"['min', 'klo', 'boleh', 'saran', 'radar', 'hujan', 'maps', 'buat', 'seperti', 'google', 'maps', 'jangan', 'buat', 'peta', 'hitam', 'terimakasih']",positif,positif,positif,positif
Sayyid Ash-Habussunan,1/29/2025,1,"Setelah update, halaman awal dari aplikasi selalu di Gunung Sahari Selatan, padahal lokasi sudah di ubah ke Bandung. Sebelum update tidak ada masalah seperti ini.",telah update halaman awal aplikasi selalu gunung sahari selatan padahal lokasi sudah ubah bandung belum update tidak ada masalah seperti,"['telah', 'update', 'halaman', 'awal', 'aplikasi', 'selalu', 'gunung', 'sahari', 'selatan', 'padahal', 'lokasi', 'sudah', 'ubah', 'bandung', 'belum', 'update', 'tidak', 'ada', 'masalah', 'seperti']",negatif,negatif,positif,positif
Surya Tikno,1/3/2023,4,Sangat membantu,sangat bantu,"['sangat', 'bantu']",positif,positif,negatif,negatif
Ova,1/11/2025,4,aku harap operasional tim bmkg bisa updet sistem dengan cara cepet updet kalau ada gempa. atau bisa sebelum gempa ada info. jangan 5 menit setelah gempa baru updet udah ketimpa bangunan baru ada info jadinya ga bisa antisipasi. semoga kedepannya bmkg bisa,aku harap operasional tim bmkg bisa updet sistem cara cepet updet kalau ada gempa atau bisa belum gempa ada info jangan menit telah gempa baru updet udah timpa bangun baru ada info jadi ga bisa antisipasi moga depan bmkg bisa,"['aku', 'harap', 'operasional', 'tim', 'bmkg', 'bisa', 'updet', 'sistem', 'cara', 'cepet', 'updet', 'kalau', 'ada', 'gempa', 'atau', 'bisa', 'belum', 'gempa', 'ada', 'info', 'jangan', 'menit', 'telah', 'gempa', 'baru', 'updet', 'udah', 'timpa', 'bangun', 'baru', 'ada', 'info', 'jadi', 'ga', 'bisa', 'antisipasi', 'moga', 'depan', 'bmkg', 'bisa']",positif,positif,positif,positif
Karisna Wibawa,12/8/2022,5,"Notifikasi nya suka telat ,tolong diperbaiki",notifikasi nya suka telat tolong baik,"['notifikasi', 'nya', 'suka', 'telat', 'tolong', 'baik']",positif,positif,negatif,positif
Happy Wirawibawa,12/31/2022,5,Bagus Trimakasih,bagus trimakasih,"['bagus', 'trimakasih']",positif,positif,positif,positif
Hari Purnomo,2/4/2024,5,Sangan membantu,sangan bantu,"['sangan', 'bantu']",positif,positif,positif,positif
agi wahyudi,6/19/2024,3,"enak yang dulu, ga banyak feature, lebih mudah.",enak dulu ga banyak feature lebih mudah,"['enak', 'dulu', 'ga', 'banyak', 'feature', 'lebih', 'mudah']",netral,negatif,netral,positif
Khofidatul Sinta,11/26/2022,1,"ini gimana sih min diupdate bukannya bagus malah ga bisa dibuka, tolong dong perbaiki dari kmrn nih",gimana sih min diupdate bukan bagus malah ga bisa buka tolong dong baik kmrn nih,"['gimana', 'sih', 'min', 'diupdate', 'bukan', 'bagus', 'malah', 'ga', 'bisa', 'buka', 'tolong', 'dong', 'baik', 'kmrn', 'nih']",negatif,negatif,positif,positif
Taufik Romadhon,1/20/2025,5,semoga selalu maju,moga selalu maju,"['moga', 'selalu', 'maju']",positif,positif,negatif,positif
Parman Nasir,2/13/2025,5,Bagus,bagus,['bagus'],positif,positif,netral,negatif
tutus fajar,5/26/2024,5,Cukup lumayan informatif.. Semoga makin mantaaabbb,cukup lumayan informatif moga makin mantaaabbb,"['cukup', 'lumayan', 'informatif', 'moga', 'makin', 'mantaaabbb']",positif,positif,positif,positif
Nawawi Nawawi,9/8/2023,5,Sangat puas,sangat puas,"['sangat', 'puas']",positif,positif,positif,positif
aas garhasih,7/6/2024,4,Semoga guna dan manfaat bagi kita semua,moga guna manfaat bagi kita semua,"['moga', 'guna', 'manfaat', 'bagi', 'kita', 'semua']",positif,positif,positif,positif
yaipe yiyien,12/16/2024,3,16 Desember 2024 masih ada bug di menu Gempabumi Real-time yang menunjukkan lokasi USER berada di Gunung Sahari Selatan dan dengan jarak belasan ribu kilometer,desember masih ada bug menu gempabumi realtime tunjuk lokasi user ada gunung sahari selatan jarak bas ribu kilometer,"['desember', 'masih', 'ada', 'bug', 'menu', 'gempabumi', 'realtime', 'tunjuk', 'lokasi', 'user', 'ada', 'gunung', 'sahari', 'selatan', 'jarak', 'bas', 'ribu', 'kilometer']",netral,netral,positif,positif
Richardo Chandra (Addo),11/22/2022,2,Ngasih info gempa pas gempa nya udh lewat,ngasih info gempa pas gempa nya udh lewat,"['ngasih', 'info', 'gempa', 'pas', 'gempa', 'nya', 'udh', 'lewat']",negatif,negatif,negatif,negatif
Sejarah Dunia,1/5/2023,5,BMKG memang sangat membatu bangett,bmkg memang sangat batu bangett,"['bmkg', 'memang', 'sangat', 'batu', 'bangett']",positif,positif,positif,positif
sandal jepit,12/15/2024,4,tlg diperbaiki ada bug setelah pilih lokasi tetap pada seting default bug setelah update,tlg baik ada bug telah pilih lokasi tetap ting default bug telah update,"['tlg', 'baik', 'ada', 'bug', 'telah', 'pilih', 'lokasi', 'tetap', 'ting', 'default', 'bug', 'telah', 'update']",positif,negatif,positif,positif
Emanuel Halan,1/9/2023,5,Sangat membantu,sangat bantu,"['sangat', 'bantu']",positif,positif,positif,positif
Ketut Sutena Yasa,8/29/2023,3,Kurang cepat update dlm hal gempa terutama yg baru ini,kurang cepat update dlm hal gempa utama yg baru,"['kurang', 'cepat', 'update', 'dlm', 'hal', 'gempa', 'utama', 'yg', 'baru']",netral,positif,positif,positif
Nafis Mulyana,10/2/2024,4,Sangat membantu informasi,sangat bantu informasi,"['sangat', 'bantu', 'informasi']",positif,positif,positif,positif
Ahmad Nurdin,1/11/2023,5,Good,good,['good'],positif,positif,positif,negatif
H H_,12/29/2023,5,Great,great,['great'],positif,positif,negatif,negatif
siti jumiati,11/21/2022,1,apliksi nya gak bisa di buka gimna ini..,apliksi nya gak bisa buka gimna,"['apliksi', 'nya', 'gak', 'bisa', 'buka', 'gimna']",negatif,negatif,netral,positif
