Username,Tanggal,Bintang,Komentar
Ahmad Rifai,2023-06-04,5,"Untuk Developer Badan Meteorologi Klimatologi & Geofisika. Info BMKG Sangat Bermanfaat, Terus Tingkatkan Fitur Dan Kualitas Di Dalam Aplikasi."
Renaldy Anwar,2023-06-04,2,Aplikasi BMKG ini sangat berguna tetapi aplikasi ini masih banyak kurangnya sistem satelitnya tidak akurat di sistem satelitnya awan badainya masih suka tidak terdeteksi titik lokasinya masih kurang lengkap BMKG harus lebih ditingkatkan lagi kualitasnya pastikan aplikasi berjalan sangat responsif dan optimal
Indra Bungsu,2023-06-04,5,Mantap
Sekar Inda,2023-06-03,2,"Penggunaan aplikasi info ini dalam penarapannya aplikasi ini belum terjalankan secara efektif dalam masyarakat, banyak hal yg harus di perbaiki seperti tampilan yg lebih terorganisir, lokasi yg lebih akurat, ditingkatkan lagi ke fitur yg bisa memantau cuaca dan bencana yg ada di daerah terpencil yg belum terjangkau , memberikan info yg real time aplikasi ini terkadang notifikasiny tidak muncul jadi sulit untuk mengetahui info cuaca dn bencana yg terjadi saat ini."
Aria Mardani,2023-06-03,3,"Kritik : aplikasi ini kurang akurat dalam memberi informasi gempa dan juga fiktur aplikasi ini masih kurang canggih untuk jaman modern skrng Saran : aplikasi ini perlu di perbarui lagi dalam memberi informasi terutama terkait dengan gempat yang terkadang tidak akurat dan juga fiktur aplikasi ini segera di perbarui dengan fiktur canggih nya yg bisa lebih berguna dan bermanfaat untuk era modern sekarang contohnya fiktur zoom agar lebih mudah mencari lokasi , tidak perlu zoom manual lagi."
Seprianus Tangko,2023-06-03,5,sangat setuju informasi ini dan sangay membantu
Tiara Amanda,2023-06-03,3,"Mohon untuk di tingkatkan lagi untuk fitur notifikasinya agar para pengguna tidak kesusahan untuk mendapatkan notifikasi gempa, bahkan sering sekali tidak mendapatkan notifikasi dan kadang karna delay sering terjadi spam notifikasi yang membuat kurang nyaman. Fitur kualitas cuaca hanya mencakup kota kota tertentu saja, sehingga pengguna yang daerahnya tidak termasuk tidak bisa melihat kuaalitas udara di daerah mereka, harusnya setiap kabupaten dimasukan sehingga memudahkan para pengguna"
Kaka Villi,2023-06-01,5,"Sangat bermanfaat, info cepat dan cukup akurat"
Marcus Leatemia,2023-06-01,5,👍🏽
Adang Sasmita,2023-05-29,5,Ok sangat membantu bagi petani karena jadwal cuaca bisa jadi patokan buat aktipitas
BANG CAKKA,2023-05-29,1,Kok jadi jelek setelah pembaruan? Maaf karena kurasakan jadi tidak berguna maka saya uninstal saja aplikasi ini.
bengkel berkah 717,2023-05-27,5,Goyang
Bryan Waldy Frederik Rahim,2023-05-27,4,"Min tolong buat pengaturan yang bisa menerima notifikasi di daerah yang dinginkan. Jangan gempa di semua daerah, masuk notifikasi. Contoh gempa di Sumatera, notifikasinya sampai ke Papua. Buat apa min? Buat apa?"
bayu ari setiawan,2023-05-26,2,"rasa beda tampilan bmkg sekarang, apalagi tampilan menu mencari cuaca sangat berbeda sekali dan binggung, tolong kembalikan tampilan lama, tapi tampilan di dashboard jgn di ubah"
Jayadi Adi,2023-05-26,5,sanagat bagus
Legal ST,2023-05-25,5,Sangat bermanfaat memperoleh informasi
pak elwin,2023-05-25,3,Kurang mantapp.
William Fashion,2023-05-25,5,Wiliam gunawan
Reyzha Madara,2023-05-24,5,Oke
M. Subki84,2023-05-24,3,Terimakasih aplikasinya bermanfaat
Muhamad Wahyudi,2023-05-23,2,Tidak bisa membaca lokasi gps secara langsung
Andik Agus,2023-05-23,1,aplikasi ngk berguna...gempa udah skian menit masih ngk bisa di lihat...aplikasi tidur mulu.
David Koswara,2023-05-23,5,Informasi data cuaca dan klimatologi yang bisa membentu kita. 👍👍❤️
Gisela Mua,2023-05-23,5,Sangat menunjang aktivitas diluar ruangan.. dgn data yg valid semuanya bisa diatasi.!!
Feri Fatulloh,2023-05-22,5,Info bmkg nya bagus
Lukman,2023-05-21,1,Hampir tidak pernah mendapat notifikasi setela update aplikasi. Terjadi beberapa kali gempa di beberapa daerah berdekatan tetapi tidak terbaca di aplikasi ini. Mohon aplikasinya diperbaiki lagi 🙏
Andriansyah Latjau,2023-05-21,5,👍👍👍👍
robert chan,2023-05-21,1,"gak pernah sedikitpun tepat, kumpulan orang2 bodoh dan makan gaji buta"
Ali ishak,2023-05-20,1,Persi lama coba dulu bang.
Padma Jaya,2023-05-19,2,makin kesini bug terus !!
Reygen Salindeho,2023-05-19,1,"tampilan cuaca maritim berubah makin ribet, sblm update utk melihat cuaca maritim tinggal klik peta, skrg harus ketik lokasi d pencarian..fitur klik peta d hilangkan👎👎👎👎👎"
Mamah Lina,2023-05-18,5,Menerima dan mencari info bencana banjir bandar longsor puting beliung gempa bumi dll mhn di infikan yg akurat terima kasih
Hakim Kdg,2023-05-18,3,Di tempat saya hujan di laporan berawan aneh bin ajaib
feri arisandi,2023-05-14,5,Mantap... sangat membantu
Miftahul Jannah,2023-05-14,5,Terimakasih banyak ya BMKG..... Semoga tambah sukses dan berkualitas ya BMKG....
Jimmy Cung,2023-05-14,1,"Makin gak jelas app ni, gempa gak muncul. Pas gak gempa masuk notif. Tapi gak bisa di klik. Harus masuk manual, zzzz"
Hayati Mardiah,2023-05-14,5,👍👍👍👍👍
dhea putri,2023-05-14,1,"kenapa sekarang kalau muncul ada gempa di notif ga muncul juga di aplikasinya?? udah di update tetep aja, hp juga bolak balik di mati daya masih ga berubah tolong di perbaiki lagi ya, terimakasih"
muhamad fikri,2023-05-14,4,Apakah bisa digunakan untuk menjadi widget secara real time? klo bisa bintang 5
Aise Lock,2023-05-14,1,Update Gempa jarang. Update Cuaca Buruk gak pernah. Update Suhu / Ultraviolet bahaya ga pernah. Harusnya Apk otomatis kasih peringatan di Notifikasi. Badan keamanan sekelas Negara harus mengayomi. Kaya Korsel Jepang klo ada bencana atau apa Notifikasi muncul.
Alvian,2023-05-14,5,"Klo buat cek cuaca di indo aja, App BMKG cukup akurat."
15 8F Risky pradnya uthama i pt,2023-05-12,5,Bagus
Redmi 9cakep,2023-05-11,5,Sangat bermanfaat
Aura Fitri,2023-05-11,2,"Lebih baik versi yg sebelumnya, untuk notifikasi gempa juga sekarang lebih lama. Setengah jam lebih setelah gempa baru muncul notif. Sebelum update sekitar 11-15menit selisih notif dengan kejadian."
Chaeri Bravo,2023-05-11,5,Informasinya sangat membantu untuk antisipasi jika keadaan memburuk.
Susilo Silo,2023-05-11,5,Bagus dan terima kasih.
Jagat satria,2023-05-11,1,Cukup mengecewakan
Haerudin123 123,2023-05-10,4,Mohon agar lebih baik lagi
Choki Wonatta,2023-05-10,4,Mantap
Asep Maulana,2023-05-10,5,Lumayan
Udin Doang,2023-05-10,5,Mantulll
Irawan Indra,2023-05-10,5,Sangat membantu..
Wiro Giyono,2023-05-09,5,Selalu update
Suwito Mulia Budi,2023-05-09,5,Baik sekali informasi cuacanya
SUDIRMAN DIRMANS,2023-05-09,5,Mantap
Muhammad Hamka,2023-05-09,5,"Bisa buat tau cuaca, trus gempa ada dimana, bafus sih ini aplikasi"
Fendi Nurrochman,2023-05-09,1,bagusan versi lama....
Afrizal PLN,2023-05-08,5,Api
Yudi Yanto,2023-05-08,5,Sangat membantu
Andi A.P.E,2023-05-08,1,Tidak akurat.di aplikasi membuktikan cuaca di tempat saya malam ini hujan sedang.nyata gak hujan Sama sekali malam ini.jadi hapus saja ni aplikasi.
Upik Bob Bidjuni,2023-05-08,5,Informasinya Sangat membantu
Muhad kamarudin,2023-05-08,1,Ok
Racel seluler,2023-05-08,5,"Team developer BMKG tambahkan fitur BMKG navigasi, GPS dan Peta tranportasi kerata,tol,bandara, sesuai lokasi terkini 24 jam dengan BMKG navigasi saya atau sesuai posisi kendaraan dll agar BMKG hilirisasi pelayanan publik umum agar menjadi pusat informasi umum yang lebih fleksibel di setiap perubahan navigasi kebutuhan masyarakat domestik maupun internasional khususnya para wisatawan domestik maupun internasional yang ingin berwisata di seluruh Indonesia"
taqiyuddin,2023-05-07,5,Informasinya selalu update
Sofyan S.Th.I,2023-05-07,4,lumayan bagus.
wisnu pratama,2023-05-06,5,Bagus
Siti Aulan Nuha,2023-05-06,1,Jelek
Juna Beyjun tea,2023-05-06,5,Sangat membantu sekali
Kadek Alvin,2023-05-05,5,Bagus untuk pemain layangan
Leonard Bensuil,2023-05-05,5,Saya banyak mendapat informasi tentang fenomena alam
Kartono Tono,2023-05-04,1,Aplikasi ga jelas katanya cari kecamatan masa kec lelea indaramayu kaga ada
Muhammad Ridwan Siregar,2023-05-04,4,semoga menjadi aplikasi yg akurat
Riki Kii,2023-05-04,5,"bug ,mau masuk ke apk delay lama dan di home loading nya lama kadang gada muncul"
Mar Fatimah,2023-05-04,5,Mantap
Siti Syarah Ulfa,2023-05-03,5,"bagus, tapi notifnya kurang heboh hahaha"
Irmansah Siregar (Irman),2023-05-03,5,Sangat membantu informasinya !!
Wempy Irawan,2023-05-03,5,Info Gempa nya Akurat
Muhammad Toni,2023-05-03,4,Sangat bermanfaat info bmkg
Pieter Beris,2023-05-03,4,"Aplikasi nya Bagus, sangat membantu"
JAZL• JR,2023-05-03,5,Jos
ulik setiawan,2023-05-03,4,Bagus..dibuat per jam lebih bagus
Nina Purnamasari,2023-05-03,5,Bagus
Nanang Suhendy,2023-05-02,5,Oke
rahmad soleh,2023-05-02,5,Ok
Mohd. Haikal,2023-05-02,5,"Nice, Very Good"
Harry Soetanto,2023-05-02,5,Bagus
Denny Alfian,2023-05-02,5,Sangat informatif...
infa iin,2023-05-01,5,bagus nermanfaat
Risa Budi Utami,2023-05-01,1,"Mendingan yg sebelumnya, lokasinya bisa pindah"" sendiri,"
Rajendra Faizan,2023-05-01,5,Aplikasi yang sangat bagus dan penting sekali untuk mengeta
Saherudin Udin,2023-05-01,5,"Sangat membantu perkiraan cuaca, tinghi gelombang dll"
Arief Arief,2023-05-01,4,"Mantap, bikin tambah wawasan..."
Adam Bidara,2023-05-01,4,Bagus
DMX Baginda Halilintar,2023-05-01,5,Sangat membantu setiap kali mw bepergian lewat laut selalu buka cek aplikasi ini
Irfan Zidni,2023-05-01,5,Bagus
Marthen Unwakoly,2023-04-30,5,"Terimakasih ,,sangat bermanfaat untuk sayang bisa mengetahui bencana di setiap daerah di seluru penjuru Nusantara 👍👍👍🇲🇨🇲🇨🇲🇨"
M R,2023-04-30,4,Top👍🏻tapi setiap keluar aplikasi pasti ada pemberitahuan kalo aplikasi BMKG berhenti.Itu gimana ya?🙏🏻 Tolong dibenarkan ya!🙏🏻
Made Dite,2023-04-30,5,Bagus mantap akurat
suparno 67,2023-04-30,5,Sangat bermanfaat
Muliasrudi Rudhy,2023-04-30,4,"Mohon untuk pihak admin aplikasi untuk update/perbaiki untuk masalah fitur ""Kualitas Udara"" soalnya sering gak ada apa apa kadang juga muncul tapi keseringan gak ada... Mohon di perbaiki secepatnya lah biar bisa tau apa apa aja yg terjadi atau pun mau lihat kualitas udara kaya gimana🙏🏻"
Unamed Account,2023-04-30,1,Prakiraan cuacanya untuk daerah saya di kalimantan tengah setiap hari 90% selalu meleset. Prakiraan hujan padahal cuaca panas sampai 33 derajat
Samsul Made,2023-04-30,4,"Masih agak lambat update info gempanya, saya cek gempa yg terjadi di lokasi saya selisih waktu 15-20 menit baru muncul data."
Syafri Sati,2023-04-29,5,Sangat membantu untuk perkembangan pengetahuan kami masyarakat indonesia
Suratno,2023-04-29,5,Ok
Pranowo Boy,2023-04-29,4,Saya kasih bintang 4 dulu ya ...
Rifky Naufal Athaya,2023-04-29,2,Informasi nya kurang lengkap lebih cepat dari Twitter daripada disini
Debi Maulana Ahsan Halla,2023-04-29,4,"Mohon tambahkan fitur fenomena astronomi, seperti gerhana dan meteor."
film korea,2023-04-29,1,Lbh baik kyk versi lama lbh mudah mencari cuaca wilayah perkelompok. Sekarang versi bikin pusing. Contok wilayah kota bukittinggi bisa melihat cuaca bagian wilayah bukittinggi yg laen nya.
Rahmat Rahmat,2023-04-29,5,Saya suka
Agus agus pratama,2023-04-29,5,"𝘮𝘢𝘯𝘵𝘢𝘱 𝘢𝘱𝘭𝘪𝘬𝘢𝘴𝘪𝘯𝘺𝘢 𝘉𝘔𝘒𝘎, 𝘵𝘪𝘥𝘢𝘬 𝘣𝘳𝘵𝘢𝘯𝘺𝘢𝘵𝘢𝘯𝘺𝘢 𝘥𝘪 𝘮𝘢𝘯𝘢 𝘬𝘦𝘫𝘢𝘥𝘪𝘢𝘯 𝘨𝘦𝘮𝘱𝘢𝘩 𝘥𝘢𝘯 𝘤𝘶𝘢𝘤𝘢 𝘵𝘦𝘳𝘱𝘢𝘯𝘵𝘢𝘶 𝘫𝘦𝘭𝘢𝘴"
Alfarizi,2023-04-29,5,Sangat membantu
Rovel Handri,2023-04-29,5,Okee
Ua Apu,2023-04-29,5,Ok
misdi cahngawi,2023-04-29,5,Menambah wawasan kita
Dmitri 72,2023-04-29,5,"Tidak ingin mendahului Allah S.W.T, Prakiraan Cuacanya hampir akurat"
Malik Habib,2023-04-29,5,sangat membantu sekali situasi daerah
Kriswan Driyanto,2023-04-29,5,Sangat berguna untuk keamanan aktivitas out door
Jack laimar putra,2023-04-29,5,Bagus sekali
deswardi steq,2023-04-29,5,Nice..bmkg
Yesrius Laowo,2023-04-29,5,Saya merasa senang
robert wicaksono,2023-04-29,5,"BAGUS , LENGKAP , SANGAT TERBANTU"
Yudi Afriandonal,2023-04-29,5,sangat sangat membantu
med ranggasolo,2023-04-29,5,Akurat
Ahmad Junaidi,2023-04-28,5,Sengat membantu untuk siaga
Agung Santoso,2023-04-28,4,Bagus
Ros Miathy,2023-04-28,5,Akut dan terpercaya 👍👍👍
Sahri Ramadani,2023-04-28,5,Menurut saya apk.nya bagus seperti yg saya inginkan
Imran Lamadi,2023-04-28,5,Sangat membantu
Wahyudianto ST,2023-04-28,5,Mantap
Denwarno Suwarno,2023-04-28,4,membantu kami info cuaca dan bencana
firdaus 2001,2023-04-28,5,Info yang update
mukti karya,2023-04-28,5,Aplikasi yg bagus
Muhamad Ilyas,2023-04-28,5,Giood
Lahay Usmanij,2023-04-28,5,Good 👍
Listiyani Soenoro,2023-04-28,5,Info sangat cepat
Mc Don,2023-04-28,3,Cukup bagus......
budi prasetyo,2023-04-28,5,aplikasi sangat membantu memperoleh berita² cuaca dan kondisi bumi terupdate.
Yasaratodo Wau,2023-04-28,5,Bagus
Asyadi Yadi,2023-04-28,5,"Terima kasih BMKG saya sangat terbantu dgn adanya ini dan setiap saat dpt mengetahui dimana adanya gempa, dan selalu dpt Notovikasi"
Subur 80,2023-04-28,5,Sangat membantu 👍👍👍
Ardian Larune,2023-04-28,5,Mantap
aylashaqueena chigachigie,2023-04-28,5,Ok
Teguh Budi Santoso (Teguh),2023-04-28,5,sangat membantu tentang informasi gempa dan cuaca
Sri Sabania,2023-04-28,5,Mantap
Donit sen Siregar,2023-04-28,5,Sangat membantu untuk mengetahui cuaca serta info masalah gempa
FF Account,2023-04-28,5,Mantap
Agus Berbah (Agus Berbah),2023-04-28,5,Sangat membantu jika ada bencana alam
Fendri Haryono,2023-04-28,4,Sangat membantu dalam beraktifitas
EL NINO,2023-04-28,5,Good job..... Terus ditingkatkan ya ..
Hendra Bampeck,2023-04-28,5,Sangat membantu sekali informasi aplikasi ini
Muhammad Saifullah,2023-04-28,5,Aplikasi nya bagus dan valid 👍👍
Marga Ratu,2023-04-28,5,Membantu....
Biase Ajak,2023-04-28,5,Bagus
Triono,2023-04-28,5,Baguuuussss
Akhyar Elfuad,2023-04-28,4,Informasi yang didapat jauh lebih cepat padat tepat akurat.Jadi rujukan tanpa ada kesimpangsiuran.
Untung Saptoadji,2023-04-28,5,Sangat membantu
Ahmad lutfi Ramadan,2023-04-28,5,LumYan mendeteksi
Ama Jo Wadu,2023-04-28,5,baik
Culek Jambak,2023-04-28,5,Saya blm mendapatkan info yg cepat
Darmono,2023-04-28,5,MANTAAAP
IRFANUDIN,2023-04-28,5,Karna aplikasi ini sa ngat penting bagi saya...🙏
Dedy Aja,2023-04-28,5,Ok
badrun samin,2023-04-28,5,"Info BMKG sangat membantu masyarakat terhadap kejadian gempa bumi, terutama titik lokasi dan kekuatan gempa. Terimakasih BMKG."
Heri yanto,2023-04-28,5,Informasi yg baik
SASAK LOMBOQ,2023-04-28,5,"Sangat membantu dalam Mitigasi , khususnya kami di Lombok."
K. SIAGIAN,2023-04-28,4,Akurat
Abdillah Tadjuddin,2023-04-28,5,Banyak manfaat
jinho master,2023-04-28,5,Info nya sangat membantu
tony arianto,2023-04-28,5,mantap
Info Traveling Traveling,2023-04-28,5,Oke
Lalu Burhanudin,2023-04-28,5,Sangat bermanfaat
Heriansyah Ptk,2023-04-28,5,👍
Bagus wicaksono,2023-04-28,5,Sangat membantu sekali
Anas Mufidin,2023-04-28,5,Sangat membantu
Heny Kusmiati,2023-04-28,5,Sangat membantu
Ely Purnami,2023-04-28,5,"Saya lihat, infonya lengkap sih, yg sy cari dan butuhkan sudah ada dn tersedia jawabannya d dlm aplikasi.. terimakasih 🙏"
Bang Day1,2023-04-28,5,Mantap abis
Mercy Jayapura,2023-04-28,5,👍👍👍
Lasmy99 Ramadhan9999,2023-04-28,5,Sangat oke
budi rahmat setiawan,2023-04-28,5,Ok
moris cahyadi,2023-04-27,5,Untuk kualitas dan aksesibilitas app informatif dan fresh Fiture
Muhammad Ihsan karmedi,2023-04-26,5,Aplikasi nya lebih ditingkatkan lagi Kalau perlu datanya harus lebih akurat
Yana Property channel,2023-04-26,5,Sangat Membantu untuk mencari tahun lokasi terjadinya bencana
Wardicz jr,2023-04-25,1,APLIKASI TERBURUK PADAHAL SANGAT DI BUTUHKAN INFORMASI NYA TAPI TIDAK BISA TERUPDATE SUDAH 21 JAM LALU GEMPA MENTAWAI TAPI TIDAK BISA TERBARUI JUGA BIKIN EMOSI KALAU TIDAK BECUS DALAM MENYEDIAKAN LAYANAN UNTUK PUBLIK MENDING HAPUS SEKALIAN APLIKASI NYA 👎👎
TEGUH JULIO,2023-04-25,5,"Saya sarankan tambahan serene jika terjadi gempa berpotensi tsunami, itu sangat bagus sehingga masyarakat dapat melarikan diri ketempat yang lebih aman"
abdul rahim rahim,2023-04-25,1,"info bikin bingung, pmberitahuan cuaca tak benar, kadang infonya akan turun hujan pd hal saat smpai waktunya berubah lagi, cuaca panas,, pemberitahuan cuaca tak perna jelas"
BTX•XD,2023-04-25,5,Sangat membantu sekali buat liat cuaca di daerah ku
M.Alfatih Anendy ___,2023-04-25,5,Not bad
cinthia herlina24,2023-04-25,1,Setelah update sangat buruk peta kecil apaaan
Gf alokkk Gf alokkk,2023-04-24,2,"Aplikasinya tidak bisa terbuka,kenapa sekarang begitu ya?"
Wahyu Dalubis,2023-04-24,5,Terimakasih APK BMKG Sangat membantu Kami Kususnya di daerah tepi laut yg sangat was-was adanya sunami sewaktu waktu akan adanya!!
Pengguna Google,2023-04-24,1,"Dulu Aplikasi Ini Memberi Informasi Berupa Pesan Kepada Pengguna Saat Ada Gempa, Tapi Sekarang Kok Tidak Ada Lagi? Min... Harap Buang Aja Ni Aplikasi Gak Ada Faedah, Masak Info Gempa Terbarunya 15 Hari Yg Lalu Di Tampilkan."
Muhammad Hatta. Z,2023-04-24,1,Bru aja download tpi ga bsa buka apk nya...
Ilham Membara,2023-04-24,5,Sangat membantu
Pengguna Google,2023-04-24,2,"Makin kesini makin buruk, notifikasi sama riwayat gempa terbaru 10 hari yang lalu."
Takdir Muliono,2023-04-24,4,Komporgas bagus
Ruslan Ab.G,2023-04-24,5,Akurasi bagus
Syamsuwir Uwir,2023-04-23,5,Langsung bintang 5 saja ya boss ku
Siti Nurhaliza,2023-04-23,5,Bagus kita bisa tau kalo gempa 🙂🙂🙂🙂🙂🙂🙂
Eris Sulistina,2023-04-22,4,"Akan jauh lebih baik lagi jika memiliki Widget yang dapat disimpan di homescreen, mohon kerjasamanya 🙏"
Hana cristian,2023-04-19,5,Bagus sangat membantu
KORG Oranye,2023-04-17,3,"Versi update nya tidak kaya yang dulu bisa menampilkan menu tambahan seperti skala MMI dll,jadi pada akhirnya simpel tapi malah ribet"
Ruddin,2023-04-17,1,"Sekarang gak ada titik lokasi saya, yang ada cuma titik lokasi gempa saja, dan kalau ada notif diklik gak bisa masuk aplikasi, tolong diatasi segera"
ujicoba game18,2023-04-15,4,Lagi Test dulu kalau akurat gue naik bintang nya
Lidwina Maria,2023-04-15,5,Bagus
Gunawan Khiado,2023-04-15,4,Semoga sesuai
Bayo buan Tanlek,2023-04-15,5,Setelah di Update g bisa dibuka
sandi sandria,2023-04-15,5,Sangat membantu
Fahri Tulungagung,2023-04-15,5,ini apk nya sangat berguna kalau untuk aku
Arham'28Ham,2023-04-15,5,Bagus saya suka👍🏻
Restu,2023-04-14,5,Aplikasi info BMKG sangat berguna untuk mengetahui prakiraan cuaca dan gempa bumi yang terjadi di Indonesia
Nur Hadi,2023-04-14,5,Oke
Reza Maghfiroh,2023-04-14,5,Wau informasi yg keren dan terpercaya
Rizky Ramadhan,2023-04-14,5,Sangat bgs.
Mr.lombok,2023-04-14,5,Sangat bagus
Amang Yamin,2023-04-14,5,Sangat membantu dalam informasi cuaca
Astrit Setrit,2023-04-14,5,Mantul
Ronny Pramono,2023-04-14,1,Sekarang tidak bisa melihat sekala mmi daerah daerah yg merasakan gempa. Aplikasinya di update malah jadi berantakan nggak karuan. Notifikasinya diklik juga nggak mau masuk ke aplikasinya. Yang penting impormasinya jangan tampilannya.
Moch Suchaeri,2023-04-14,5,Info cepat...👍👍
I Kadek Dwipa Anantawikrama,2023-04-14,1,Fast respon kek
Muhammad Djuari,2023-04-14,5,sangat bermanfaat
Munah Rai Putri,2023-04-14,4,"Ini gatau emang hp sy yang kurang tepat atau gimana. Tapi yang sy rasakan setelah ada gempa pasti tidak ada notif yang muncul, buka menu aplikasinya juga tetep nggak ada pembaruan. Sy kira karna masih beberapa detik/menit yang lalu. Tapi ditungguin lama sampe 10 menit ga masuk-masuk. Hmmmm"
Nofiyani W,2023-04-14,5,Sangat membantu sekali
Ester Yulitania Toker,2023-04-14,5,"Bagus. Tapi maaf saya salah survey karena baru pertama kali mengunduh, untuk survey gempa hari ini🙏🙏"
mellondt lemmont,2023-04-14,1,Kurang update
Latiful Anwar,2023-04-14,1,Tambah jlek ngk akurat kebayakan di perbarui.. mending versi lamanya no problem
CHARLES KUSUMO,2023-04-14,5,Ok
33 Kadek Majesta Arditama,2023-04-14,3,Bug tampilan gempa terpotong setengah layar
Silver Hood,2023-04-14,2,Notifikasi lambat. Tolong ditambah fitur aduan bencana. Jadi masyarakat yang merasakan bisa secepatnya memberikan aduan apa yang terjadi di tempat
Sattuang Sattuang,2023-04-12,5,Ok
Avisi Repalina,2023-04-10,5,Ramadhan
Mahjun Ali,2023-04-10,1,"Aplikasi asw, tdk update gempa terbaru, setan"
Sri Mulyeti,2023-04-10,3,Bitang 3 sja. Soalnnya tampilan petanya malah jelek di versi baru ini.
Hieronimus Feivel Widihartanto,2023-04-10,5,Terima kasih
Lhank Ruslan,2023-04-10,5,Bagus
Harun Alrasyid,2023-04-07,5,Mantab...
Edwin Pama,2023-04-07,5,Terima kasih atas infonya 👍👍👍
dasep jamaludin,2023-04-06,5,Ok
Rafi Ikhsan S.M,2023-04-06,5,Aplikasi yang berguna menjadikan saya lebih tau cuaca dan kondisi alam sekitar dengan lebih update
Hadi Bengoh,2023-04-04,5,Sangat bagus
Puspa Made,2023-04-03,5,Akurat terpercaya
Misran Stmg,2023-04-03,5,No coment
Marwansyah siregar,2023-04-03,5,Ok
syahbuddin nursaleh,2023-04-03,5,ok app
Ferdinanto Purba,2023-04-03,5,"Bagus,berita akurat dan propesional"
Iccank Iccank,2023-04-02,5,Bagus klu masalah gempa
putra ranto,2023-03-30,1,Oke
Muhammad Satria,2023-03-30,4,"Gambar/Peta/Grafis, lebih bagus yg sebelumya."
Iwan Bejah,2023-03-30,4,"Sebenernya lebih bagusan abdetan yg utama lhih real,klo yg sekarang malah membagongkan,lain di lihat malah yg keluar negara2 yg kena gempa.🤔🤔🤔"
Sanss Jancok,2023-03-29,5,Is the best
Qays Ariqin Diavazo,2023-03-29,4,"Bagus, hny knp skrg tidak bisa kirim survey untuk gempa nya ya? Sering eror"
SULMAN ABADI,2023-03-29,1,Tidak akurat
Yusran Jr,2023-03-29,1,Tambah jelek aja apk ini dulu waktu gempa ada notifikasi pemberitahuan yang keluar dalam 7 menit atau pemberitahuan gempat berbaru langsung keluar dalam 7 menit atau 10 menit sekarang lama sekali sekitar 20 menit dan juga notifkasi enggak ada sumpah apk sampah lama-lama
milna emont,2023-03-29,1,eh di daerah saya gempa lumayan besar udah serangan jam blum ada informasi dari Anda ga ngerti gua fungsi aplikasi ini buat apa
Abdul Rohman,2023-03-29,5,sngat berarti
elta,2023-03-29,3,"Bukan ga update softwarenya, tapi informasinya ga up to date"
Ovin Yunita,2023-03-28,5,Gabut
kornelis tuwilay,2023-03-27,5,Membantu untuk info gempa
Hanik Ummi,2023-03-25,1,Ngak akurat.setelah gempa terjadi ngak ada laporanya sama sekali
Wahyu Ismoyo,2023-03-25,4,"Apk ini sangat bagus, sya menyukainya karena kebenaran informasinya hampir 75%.."
Razaly Sulaiman,2023-03-25,5,"Sangat membantu, tapi ada juga terkadang telat infonya."
Sukmara Thea,2023-03-25,1,Anjinkkkk
the Cansalony,2023-03-25,4,Ok
Sahpri Rhizka,2023-03-23,5,Good
Sukri Adi,2023-03-22,5,Thank you👍👍👍
Dwiyantama Imanuddin,2023-03-22,5,"Bagus, info gempa lumayan akurat, sangat update."
Puji Hari Saptaji,2023-03-21,5,Sangat membantu sekali👌👍👍👍👍👍👍
Yudi Kristanto,2023-03-21,5,Crash di android 13. Mendapat notifikasi untuk di no aktifkan oleh system android karena terlalu sering Crash. Mohon diperbaiki. Review akan di edit setelah masalah selesai Update 3.1.2 android 13 sudah tidak crash notifikasi.
Hafizh Nursalam Dasril SKM,2023-03-20,3,kenapa gak ada notif saat gempa ya?
Dimas Abdus Syukur,2023-03-20,5,Wah saya senang sekali karena BMKG sosialisasi ke sekolah saya.
Doni Hamza,2023-03-19,5,Sudah lumayan bagus aplikasinya
Make sinting,2023-03-17,5,Jelas
Niela 0993,2023-03-17,4,"Bagus sih cuma kalau bisa notif gempa yg muncul di hp itu yg terjadi didaerah sekitar aja, misal yg tinggal didaerah Sumatera yaa notif gempa yg muncul hanya yg bagian sumatera juga, jadinya gak numpuk sehari bejibun notifikasi ujung2nya malah gak dibaca."
Puguh Subiantoro,2023-03-17,5,Bagus informatif
nur takino,2023-03-17,5,Good
ranti giming,2023-03-17,4,Ada gempaaa
L34N,2023-03-17,4,"pembaruan makin jelek, teks menutupi peta & teks tidak bisa di tutup manual sangat tidak nyaman"
Lah Kok Baper Sih,2023-03-17,1,Gak bisa masuk menu
yunedi 98,2023-03-16,4,Sangat membantu
fijai alfa,2023-03-16,1,Perkiraan cerah pdahal di kecatan saya hujan anggin mlesettt bmkg ne sek krng canggih alate
RISQI RAMADANI,2023-03-15,5,Hooh tenan
noer ally,2023-03-15,1,"Dear developer, sekarang sudah tahun 2023, masih belum ada niatkah untuk menambahkan widget, demi memudahkan para pengguna, seperti pada aplikasi - aplikasi cuaca yang lain???"
Rospendi,2023-03-11,5,"Luar biasa, hebat and good"
Ayah Fatih Fathan,2023-03-11,5,Good
TELUK YOUTEFA PM78,2023-03-10,5,Ok
Tettysilsban Silaban,2023-03-10,5,Boleh juga
Kornelius Kantor,2023-03-10,5,Good
Demang Kusuma Sumantri,2023-03-08,5,Bagus
Ybanez Vijeysechan Hamadi,2023-03-07,4,"mohon ditambah widget cuaca, terima kasih."
Naim Naim,2023-03-07,5,Sangat berguna informasinya
Baim Aja,2023-03-06,5,😨😰
